model,error_category,count,share
Kimi-K2-Thinking,under_specification,17,0.85
Kimi-K2-Thinking,concept_confusion,2,0.1
Kimi-K2-Thinking,noise_distraction,1,0.05
claude-opus-4-6,concept_confusion,379,0.7359223300970874
claude-opus-4-6,under_specification,133,0.258252427184466
claude-opus-4-6,noise_distraction,3,0.005825242718446602
claude-sonnet-4-6-thinking,under_specification,833,0.937007874015748
claude-sonnet-4-6-thinking,concept_confusion,31,0.03487064116985377
claude-sonnet-4-6-thinking,noise_distraction,25,0.0281214848143982
deepseek-v4-pro,under_specification,92,0.9583333333333334
deepseek-v4-pro,concept_confusion,4,0.041666666666666664
gemini-3-flash-preview,under_specification,971,0.9547689282202556
gemini-3-flash-preview,concept_confusion,27,0.02654867256637168
gemini-3-flash-preview,noise_distraction,19,0.018682399213372666
gpt-4o,under_specification,648,0.5126582278481012
gpt-4o,concept_confusion,559,0.442246835443038
gpt-4o,noise_distraction,57,0.04509493670886076
gpt-4o-mini,concept_confusion,586,0.731585518102372
gpt-4o-mini,under_specification,105,0.13108614232209737
gpt-4o-mini,noise_distraction,83,0.10362047440699126
gpt-4o-mini,unknown_error,27,0.033707865168539325
gpt-5.5,under_specification,462,0.7162790697674418
gpt-5.5,concept_confusion,96,0.14883720930232558
gpt-5.5,noise_distraction,87,0.13488372093023257
grok-4,under_specification,234,0.4517374517374517
grok-4,unknown_error,196,0.3783783783783784
grok-4,concept_confusion,50,0.09652509652509653
grok-4,noise_distraction,38,0.07335907335907337
