model,case_id,strategy,level,noise_label,reference_judgment,majority_judgment,repeats,prompt_uid
Kimi-K2-Thinking,C001,halton_space_filling,L1,material_color,can_pass,uncertain,3,halton_space_filling__C001_L1_material_color
Kimi-K2-Thinking,C002,halton_space_filling,L1,material_color,can_pass,uncertain,3,halton_space_filling__C002_L1_material_color
claude-opus-4-6,C001,baseline,L2,ambient_noise,can_pass,cannot_pass,3,baseline__C001_L2_ambient_noise
claude-opus-4-6,C001,baseline,L2,emotional_pressure,can_pass,cannot_pass,3,baseline__C001_L2_emotional_pressure
claude-opus-4-6,C001,baseline,L2,lighting,can_pass,cannot_pass,3,baseline__C001_L2_lighting
claude-opus-4-6,C001,baseline,L2,material_color,can_pass,cannot_pass,3,baseline__C001_L2_material_color
claude-opus-4-6,C001,baseline,L2,none,can_pass,cannot_pass,3,baseline__C001_L2_none
claude-opus-4-6,C001,baseline,L3,ambient_noise,can_pass,cannot_pass,3,baseline__C001_L3_ambient_noise
claude-opus-4-6,C001,baseline,L3,lighting,can_pass,cannot_pass,3,baseline__C001_L3_lighting
claude-opus-4-6,C001,baseline,L3,none,can_pass,cannot_pass,3,baseline__C001_L3_none
claude-opus-4-6,C001,halton_space_filling,L2,ambient_noise,can_pass,cannot_pass,3,halton_space_filling__C001_L2_ambient_noise
claude-opus-4-6,C001,halton_space_filling,L2,emotional_pressure,can_pass,cannot_pass,3,halton_space_filling__C001_L2_emotional_pressure
claude-opus-4-6,C001,halton_space_filling,L2,lighting,can_pass,cannot_pass,3,halton_space_filling__C001_L2_lighting
claude-opus-4-6,C001,halton_space_filling,L2,material_color,can_pass,cannot_pass,3,halton_space_filling__C001_L2_material_color
claude-opus-4-6,C001,halton_space_filling,L2,none,can_pass,cannot_pass,3,halton_space_filling__C001_L2_none
claude-opus-4-6,C001,halton_space_filling,L3,lighting,can_pass,cannot_pass,3,halton_space_filling__C001_L3_lighting
claude-opus-4-6,C002,halton_space_filling,L2,ambient_noise,can_pass,cannot_pass,3,halton_space_filling__C002_L2_ambient_noise
claude-opus-4-6,C002,halton_space_filling,L2,material_color,can_pass,cannot_pass,3,halton_space_filling__C002_L2_material_color
claude-opus-4-6,C002,halton_space_filling,L2,none,can_pass,cannot_pass,3,halton_space_filling__C002_L2_none
claude-opus-4-6,C002,halton_space_filling,L3,material_color,can_pass,cannot_pass,3,halton_space_filling__C002_L3_material_color
claude-opus-4-6,C003,baseline,L1,ambient_noise,can_pass,uncertain,3,baseline__C003_L1_ambient_noise
claude-opus-4-6,C003,baseline,L1,lighting,can_pass,uncertain,3,baseline__C003_L1_lighting
claude-opus-4-6,C003,baseline,L2,ambient_noise,can_pass,cannot_pass,3,baseline__C003_L2_ambient_noise
claude-opus-4-6,C003,baseline,L2,emotional_pressure,can_pass,cannot_pass,3,baseline__C003_L2_emotional_pressure
claude-opus-4-6,C003,baseline,L2,lighting,can_pass,cannot_pass,3,baseline__C003_L2_lighting
claude-opus-4-6,C003,baseline,L2,material_color,can_pass,cannot_pass,3,baseline__C003_L2_material_color
claude-opus-4-6,C003,baseline,L2,none,can_pass,cannot_pass,3,baseline__C003_L2_none
claude-opus-4-6,C003,baseline,L3,ambient_noise,can_pass,cannot_pass,3,baseline__C003_L3_ambient_noise
claude-opus-4-6,C003,baseline,L3,emotional_pressure,can_pass,cannot_pass,3,baseline__C003_L3_emotional_pressure
claude-opus-4-6,C003,baseline,L3,lighting,can_pass,cannot_pass,3,baseline__C003_L3_lighting
claude-opus-4-6,C003,baseline,L3,material_color,can_pass,cannot_pass,3,baseline__C003_L3_material_color
claude-opus-4-6,C003,baseline,L3,none,can_pass,cannot_pass,3,baseline__C003_L3_none
claude-opus-4-6,C003,dimensionless_ratio_design,L2,ambient_noise,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L2_ambient_noise
claude-opus-4-6,C003,dimensionless_ratio_design,L2,emotional_pressure,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L2_emotional_pressure
claude-opus-4-6,C003,dimensionless_ratio_design,L2,lighting,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L2_lighting
claude-opus-4-6,C003,dimensionless_ratio_design,L2,material_color,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L2_material_color
claude-opus-4-6,C003,dimensionless_ratio_design,L2,none,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L2_none
claude-opus-4-6,C003,dimensionless_ratio_design,L3,ambient_noise,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L3_ambient_noise
claude-opus-4-6,C003,dimensionless_ratio_design,L3,emotional_pressure,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L3_emotional_pressure
claude-opus-4-6,C003,dimensionless_ratio_design,L3,lighting,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L3_lighting
claude-opus-4-6,C003,dimensionless_ratio_design,L3,material_color,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L3_material_color
claude-opus-4-6,C003,dimensionless_ratio_design,L3,none,can_pass,cannot_pass,3,dimensionless_ratio_design__C003_L3_none
claude-opus-4-6,C003,real_world_archetype_matrix,L1,lighting,can_pass,uncertain,3,real_world_archetype_matrix__C003_L1_lighting
claude-opus-4-6,C003,real_world_archetype_matrix,L1,material_color,can_pass,uncertain,3,real_world_archetype_matrix__C003_L1_material_color
claude-opus-4-6,C003,real_world_archetype_matrix,L2,ambient_noise,can_pass,cannot_pass,3,real_world_archetype_matrix__C003_L2_ambient_noise
claude-opus-4-6,C003,real_world_archetype_matrix,L2,emotional_pressure,can_pass,cannot_pass,3,real_world_archetype_matrix__C003_L2_emotional_pressure
claude-opus-4-6,C003,real_world_archetype_matrix,L2,lighting,can_pass,cannot_pass,3,real_world_archetype_matrix__C003_L2_lighting
claude-opus-4-6,C003,real_world_archetype_matrix,L2,material_color,can_pass,cannot_pass,3,real_world_archetype_matrix__C003_L2_material_color
claude-opus-4-6,C003,real_world_archetype_matrix,L2,none,can_pass,cannot_pass,3,real_world_archetype_matrix__C003_L2_none
claude-opus-4-6,C003,real_world_archetype_matrix,L3,ambient_noise,can_pass,cannot_pass,3,real_world_archetype_matrix__C003_L3_ambient_noise
