strategy,level,samples,accuracy,uncertain_rate,formula_rate,coordinate_rate,concept_confusion_rate,under_specification_rate,noise_distraction_rate
baseline,L1,868,0.4539170506912442,0.5103686635944701,0.7523041474654378,0.03917050691244239,0.0069124423963133645,0.5103686635944701,0.020737327188940093
baseline,L2,726,0.174931129476584,0.24380165289256198,0.756198347107438,0.03581267217630854,0.4283746556473829,0.24380165289256198,0.09228650137741047
baseline,L3,650,0.26153846153846155,0.28615384615384615,0.7707692307692308,0.683076923076923,0.40307692307692305,0.28615384615384615,0.027692307692307693
constraint_boundary_solver,L1,815,0.48957055214723927,0.47484662576687114,0.6834355828220859,0.03803680981595092,0.007361963190184049,0.47484662576687114,0.013496932515337423
constraint_boundary_solver,L2,672,0.7336309523809523,0.16220238095238096,0.8452380952380952,0.03422619047619048,0.08928571428571429,0.16220238095238096,0.01488095238095238
constraint_boundary_solver,L3,611,0.6202945990180033,0.2618657937806874,0.79050736497545,0.6873977086743044,0.07855973813420622,0.2618657937806874,0.0
dimensionless_ratio_design,L1,813,0.5830258302583026,0.3936039360393604,0.6740467404674046,0.05289052890528905,0.004920049200492005,0.3936039360393604,0.014760147601476014
dimensionless_ratio_design,L2,673,0.43536404160475484,0.23328380386329867,0.7696879643387816,0.0549777117384844,0.24962852897473997,0.23328380386329867,0.03714710252600297
dimensionless_ratio_design,L3,611,0.42225859247135844,0.28477905073649756,0.7675941080196399,0.6759410801963993,0.24877250409165302,0.28477905073649756,0.022913256955810146
halton_space_filling,L1,810,0.5345679012345679,0.4246913580246914,0.7086419753086419,0.040740740740740744,0.014814814814814815,0.4246913580246914,0.018518518518518517
halton_space_filling,L2,660,0.24545454545454545,0.26666666666666666,0.7303030303030303,0.05303030303030303,0.36515151515151517,0.26666666666666666,0.07878787878787878
halton_space_filling,L3,588,0.36394557823129253,0.32482993197278914,0.7414965986394558,0.6445578231292517,0.272108843537415,0.32482993197278914,0.017006802721088437
real_world_archetype_matrix,L1,813,0.4920049200492005,0.4821648216482165,0.7109471094710947,0.033210332103321034,0.007380073800738007,0.4821648216482165,0.015990159901599015
real_world_archetype_matrix,L2,676,0.5310650887573964,0.16420118343195267,0.8298816568047337,0.047337278106508875,0.22337278106508876,0.16420118343195267,0.05917159763313609
real_world_archetype_matrix,L3,599,0.44240400667779634,0.28046744574290483,0.7879799666110183,0.676126878130217,0.24540901502504173,0.28046744574290483,0.01335559265442404
